dataset,clip,method,frames,psnr,ssim,lpips,tlpips,fid,temporal_mae,has_gt,pred_path,gt_path,eval_policy,crop_twh
vimeo-rl,vimeo-RL_00018_0252,part3_C_uncertainty_adaptive,7,,,,0.1257,,,false,part3_exploration/outputs/direction_c_uncertainty/vimeo-RL_00018_0252_uncertainty_adaptive_x4.mp4,,unified_streaming_vsr_crop_minT,384x256
vimeo-rl,vimeo-RL_00018_0255,part3_A_rectified_flow,7,,,,0.1537,,,false,part3_exploration/outputs/direction_a_flow_matching/vimeo-RL_00018_0255_rectified_flow_x4.mp4,,unified_streaming_vsr_crop_minT,384x256
vimeo-rl,vimeo-RL_00018_0255,part3_B_flow_stabilized,7,,,,0.1600,,,false,part3_exploration/outputs/direction_b_sd_controlnet/vimeo-RL_00018_0255_flow_stabilized_x4.mp4,,unified_streaming_vsr_crop_minT,384x256
vimeo-rl,vimeo-RL_00018_0255,part3_B_temporal_gen_blend,7,,,,0.1521,,,false,part3_exploration/outputs/direction_b_sd_controlnet/vimeo-RL_00018_0255_temporal_gen_blend_x4.mp4,,unified_streaming_vsr_crop_minT,384x256
vimeo-rl,vimeo-RL_00018_0255,part3_C_uncertainty_adaptive,7,,,,0.1569,,,false,part3_exploration/outputs/direction_c_uncertainty/vimeo-RL_00018_0255_uncertainty_adaptive_x4.mp4,,unified_streaming_vsr_crop_minT,384x256
vimeo-rl,vimeo-RL_00018_0257,part3_A_rectified_flow,7,,,,0.2000,,,false,part3_exploration/outputs/direction_a_flow_matching/vimeo-RL_00018_0257_rectified_flow_x4.mp4,,unified_streaming_vsr_crop_minT,384x256
vimeo-rl,vimeo-RL_00018_0257,part3_B_flow_stabilized,7,,,,0.2034,,,false,part3_exploration/outputs/direction_b_sd_controlnet/vimeo-RL_00018_0257_flow_stabilized_x4.mp4,,unified_streaming_vsr_crop_minT,384x256
vimeo-rl,vimeo-RL_00018_0257,part3_B_temporal_gen_blend,7,,,,0.2014,,,false,part3_exploration/outputs/direction_b_sd_controlnet/vimeo-RL_00018_0257_temporal_gen_blend_x4.mp4,,unified_streaming_vsr_crop_minT,384x256
vimeo-rl,vimeo-RL_00018_0257,part3_C_uncertainty_adaptive,7,,,,0.2045,,,false,part3_exploration/outputs/direction_c_uncertainty/vimeo-RL_00018_0257_uncertainty_adaptive_x4.mp4,,unified_streaming_vsr_crop_minT,384x256
vimeo-rl,vimeo-RL_00018_0258,part3_A_rectified_flow,7,,,,0.4873,,,false,part3_exploration/outputs/direction_a_flow_matching/vimeo-RL_00018_0258_rectified_flow_x4.mp4,,unified_streaming_vsr_crop_minT,384x256
vimeo-rl,vimeo-RL_00018_0258,part3_B_flow_stabilized,7,,,,0.4932,,,false,part3_exploration/outputs/direction_b_sd_controlnet/vimeo-RL_00018_0258_flow_stabilized_x4.mp4,,unified_streaming_vsr_crop_minT,384x256
